Samples,Endomicrobium_proavitum,Bacteroides_pyogenes,Proteiniphilum_acetatigenes,Proteiniphilum_saccharofermentans,Petrimonas_mucosa,Porphyromonas_catoniae,Porphyromonas_gingivalis,Porphyromonas_sp_KLE_1280,Porphyromonas_sp_oral_taxon_278,Prevotella_buccae,Prevotella_intermedia,Prevotella_loescheii,Prevotella_micans,Prevotella_saccharolytica,Prevotella_sp_oral_taxon_317,Prevotella_sp_oral_taxon_472,Tannerella_forsythia,Phocaeicola_abscessus,Capnocytophaga_granulosa,Capnocytophaga_ochracea,Capnocytophaga_sp_ChDC_OS43,Capnocytophaga_sp_oral_taxon_326,Capnocytophaga_sp_oral_taxon_329,Capnocytophaga_sp_oral_taxon_332,Capnocytophaga_sp_oral_taxon_338,Capnocytophaga_sp_oral_taxon_863,Bacteroidetes_oral_taxon_274,Fusobacterium_hwasookii,Fusobacterium_nucleatum,Fusobacterium_periodonticum,Leptotrichia_buccalis,Leptotrichia_goodfellowii,Leptotrichia_hofstadii,Leptotrichia_sp_oral_taxon_212,Leptotrichia_sp_oral_taxon_215,Leptotrichia_sp_oral_taxon_225,Leptotrichia_sp_oral_taxon_879,Lautropia_mirabilis,Alicycliphilus_denitrificans,Comamonas_serinivorans,Comamonas_testosteroni,Hydrogenophaga_sp_RAC07,Ottowia_sp_oral_taxon_894,Polaromonas_sp_JS666,Serpentinomonas_mccroryi,Serpentinomonas_raichei,Eikenella_corrodens,Kingella_denitrificans,Morococcus_cerebrosus,Neisseria_bacilliformis,Neisseria_elongata,Neisseria_gonorrhoeae,Neisseria_meningitidis,Neisseria_sicca,Neisseria_sp_HMSC064E01,Neisseria_sp_HMSC072F04,Neisseria_sp_HMSC077D05,Neisseria_sp_oral_taxon_014,Neisseria_sp_oral_taxon_020,Betaproteobacteria_bacterium_GR16-43,Desulfobulbus_elongatus,Desulfobulbus_propionicus,Desulfomicrobium_orale,Campylobacter_concisus,Campylobacter_curvus,Campylobacter_gracilis,Cardiobacterium_hominis,Cardiobacterium_valvarum,Aggregatibacter_aphrophilus,Aggregatibacter_segnis,Haemophilus_parainfluenzae,Acinetobacter_venetianus,Pseudomonas_aeruginosa,Rhodanobacter_sp_Soil772,Silanimonas_lenta,Treponema_denticola,Treponema_lecithinolyticum,Treponema_maltophilum,Treponema_putidum,Treponema_socranskii,Aminomonas_paucivorans,Cloacibacillus_evryensis,Cloacibacillus_porcorum,Fretibacterium_fastidiosum,Jonquetella_anthropi,Thermanaerovibrio_acidaminovorans,Actinobaculum_sp_oral_taxon_183,Actinomyces_dentalis,Actinomyces_gerencseriae,Actinomyces_glycerinitolerans,Actinomyces_israelii,Actinomyces_massiliensis,Actinomyces_naeslundii,Actinomyces_oris,Actinomyces_provencensis,Actinomyces_radicidentis,Actinomyces_sp_HPA0247,Actinomyces_sp_oral_taxon_170,Actinomyces_sp_oral_taxon_180,Actinomyces_sp_oral_taxon_414,Actinomyces_sp_oral_taxon_848,Actinomyces_sp_oral_taxon_849,Mobiluncus_curtisii,Schaalia_cardiffensis,Schaalia_georgiae,Schaalia_meyeri,Schaalia_odontolytica,Schaalia_turicensis,Corynebacterium_durum,Corynebacterium_matruchotii,Rothia_aeria,Propionibacterium_freudenreichii,Propionibacterium_sp_oral_taxon_192,Atopobium_parvulum,Olsenella_uli,Olsenella_sp_kh2p3,Olsenella_sp_oral_taxon_807,Coriobacteriaceae_bacterium_68-1-3,Eggerthella_lenta,Gordonibacter_massiliensis,Gordonibacter_pamelaeae,Slackia_exigua,Anaerolineaceae_bacterium_oral_taxon_439,Gemella_morbillorum,Abiotrophia_defectiva,Abiotrophia_sp_HMSC24B09,Granulicatella_adiacens,Streptococcus_anginosus,Streptococcus_cristatus,Streptococcus_gordonii,Streptococcus_mitis,Streptococcus_oralis,Streptococcus_pneumoniae,Streptococcus_sanguinis,Streptococcus_sp_DD04,Clostridium_botulinum,[Eubacterium]_brachy,[Eubacterium]_infirmum,[Eubacterium]_saphenum,[Eubacterium]_sulci,Anaerovorax_odorimutans,Eubacterium_sp_3_1_31,Pseudoramibacter_alactolyticus,Catonella_morbi,Johnsonella_ignava,Lachnoanaerobaculum_saburreum,Lachnoanaerobaculum_sp_OBRC5-5,Oribacterium_sp_oral_taxon_078,Lachnospiraceae_bacterium_oral_taxon_500,Clostridioides_difficile,Filifactor_alocis,Peptoanaerobacter_stomatis,Peptostreptococcus_anaerobius,Peptostreptococcaceae_bacterium_oral_taxon_113,Ruminococcus_flavefaciens,Eggerthia_catenaformis,Solobacterium_moorei,Centipeda_periodontii,Selenomonas_noxia,Selenomonas_ruminantium,Selenomonas_sputigena,Selenomonas_sp_oral_taxon_126,Selenomonas_sp_oral_taxon_892,Selenomonas_sp_oral_taxon_920,Anaeroglobus_geminatus,Dialister_invisus,Veillonella_parvula,Murdochiella_vaginalis,Parvimonas_micra,Parvimonas_sp_KA00067,Peptoniphilus_sp_oral_taxon_386,Candidatus_Saccharibacteria_oral_taxon_TM7x,bacterium,Candidatus_Methanomethylophilus_alvus,Thermoplasmatales_archaeon_BRNA1,Methanobrevibacter_millerae,Methanobrevibacter_olleyae,Methanobrevibacter_oralis,Methanobrevibacter_ruminantium,Methanobrevibacter_smithii,Methanobrevibacter_wolinii,Methanobrevibacter_sp_YE315
Group1_No_treatment,0,0,0,0,0,262,0,0,128,0,0,0,0,123,249,305,434,0,2998,153,1857,195,399,583,168,517,1020,203,0,0,375,95,126,844,0,0,93,8632,102,94,0,0,23820,0,0,0,661,325,0,174,2022,0,205,0,0,0,0,0,91,0,0,0,951,104,0,117,1759,645,106,0,0,0,132,0,0,138,0,137,0,163,0,0,0,1091,0,0,0,431,0,0,384,133,199,835,0,0,0,0,0,1433,0,0,0,194,0,0,0,0,0,2954,170,0,0,0,0,0,1329,0,0,0,0,0,1545,0,0,146,0,0,143,407,0,105,0,6399,229,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,221,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0
Group1_No_treatment,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,1320,136,0,0,0,0,0,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,149,3825,0,0,208,0,0,0,0,0,384,0,0,0,717,0,364,0,1013,0,0,0,3241,0,0,4205,6433,8024,156,160,85,308,276,0,0,0,0,0,15751,0,0,0,434,197,422,0,0,0,1735,0,0,193,0,0,0,9419,0,0,0,0,113,6579,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,270,0,0,0,0,0,112,0,0,0,0,0,220,0,0,1163,0,0,0,0,0,0,196,0,0,0,0,0,0,0,100,0,0,495,0,0,0,0,0,162,0,0,0,160
Group1_No_treatment,0,0,0,0,0,249,294,0,0,0,146,0,0,0,153,214,1523,0,455,155,659,0,159,0,0,120,3852,0,204,0,0,0,0,308,0,0,0,2741,0,0,0,0,9008,0,0,0,853,174,0,0,426,0,140,0,0,0,0,0,0,0,0,0,9681,0,0,517,915,1616,315,0,0,0,142,0,0,779,0,644,0,1620,117,0,0,4415,0,0,0,3318,562,0,0,0,470,889,0,0,0,159,0,9108,0,0,0,441,159,335,0,0,290,1692,936,0,0,0,0,0,2111,0,0,0,0,0,2238,0,0,0,0,0,0,0,0,0,0,3379,0,0,0,0,449,0,0,0,0,0,309,0,0,0,0,0,194,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,292,0,0,0,0,0,0,0,0,0,0
Group1_No_treatment,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986,0,0,136,0,0,0,0,0,0,0,0,0,1115,118,674,0,1252,159,0,0,6592,0,0,144,2748,848,0,0,0,0,165,0,0,0,0,0,7133,0,0,0,1480,184,288,0,0,0,136,0,0,0,0,0,0,10756,0,0,0,0,341,11204,0,0,0,0,0,0,0,0,0,0,0,0,0,332,111,1739,0,0,0,0,134,266,0,0,0,0,0,712,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,1224,0,0,0,0,0,0,0,0,0,0
Group1_No_treatment,0,157,254,434,391,0,0,0,0,0,0,0,0,0,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,5607,0,0,0,0,0,0,0,0,0,0,264,0,293,0,202,0,545,314,0,262,6385,175,121,0,613,0,0,0,0,0,0,0,0,0,0,0,1807,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,9711,0,0,0,0,0,9807,0,0,0,0,0,0,0,0,0,0,0,0,211,1048,544,3203,462,553,0,317,792,0,0,0,0,0,178,1023,219,0,4654,170,944,0,0,0,0,0,0,0,0,0,0,0,0,187,0,737,841,0,0,0,2583,783,4824,135,1629,206,5936
Group2_UV,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,817,148,0,0,0,0,0,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,319,2842,0,0,271,0,0,0,0,0,0,0,0,0,1057,0,307,0,1240,168,0,0,5894,140,0,0,3344,267,0,0,120,0,238,0,0,0,0,0,10164,0,0,0,432,0,0,0,0,0,205,0,0,118,0,117,103,22723,0,0,0,0,132,12290,0,0,0,0,0,0,0,0,0,0,0,93,0,197,174,891,0,105,0,0,163,106,0,0,102,0,0,187,0,0,1202,0,206,0,0,0,0,118,0,0,0,0,0,0,0,96,0,151,1204,0,189,172,99,0,226,0,0,0,232
Group2_UV,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,2682,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,353,5107,0,0,0,0,0,0,0,0,0,0,0,0,324,0,569,0,875,306,0,0,9648,165,110,0,6321,611,113,126,0,0,0,0,0,0,0,0,13830,0,0,0,210,0,0,0,0,0,0,0,0,0,0,133,0,12970,322,153,117,104,463,7605,0,0,0,0,0,0,0,0,0,0,0,0,0,569,282,1713,198,246,0,0,0,230,0,0,0,0,0,424,144,0,819,0,474,0,0,0,131,102,0,0,0,0,0,0,0,244,0,210,290,0,0,0,122,0,284,0,0,0,284
Group2_UV,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,161,1555,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,160,5755,0,0,0,0,0,0,0,0,0,0,0,305,531,0,420,0,502,274,134,115,7863,133,0,0,4313,542,151,106,0,0,0,163,0,0,0,0,9557,0,0,0,2168,0,491,0,120,0,0,0,0,0,0,0,0,750,218,0,0,0,134,26608,0,0,0,0,0,0,0,0,0,0,0,0,0,408,474,772,315,242,0,107,204,179,0,0,123,0,0,244,0,0,915,0,620,0,0,0,0,0,0,0,0,0,0,0,0,134,0,242,775,0,0,0,0,0,168,0,0,0,180
Group2_UV,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,3327,329,0,0,0,0,0,0,0,0,1096,0,111,0,0,0,0,0,0,0,0,144,0,0,0,0,134,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,178,251,8848,0,0,493,0,197,0,0,0,0,0,0,0,1316,158,682,0,1354,209,0,145,7752,133,87,139,2551,530,0,0,110,0,213,0,0,0,0,0,7154,161,0,0,178,240,161,0,0,0,1129,0,0,0,0,89,0,18980,121,0,0,0,183,4352,0,0,0,0,0,0,0,0,0,0,0,147,0,185,160,1386,0,0,0,0,260,462,110,0,0,0,0,972,0,0,799,0,143,0,0,130,0,527,166,0,0,0,0,0,0,0,0,123,453,0,0,0,115,0,238,0,0,0,257
Group2_UV,246,115,153,272,234,0,245,0,0,0,0,0,0,113,0,0,1504,248,0,0,0,0,0,0,0,0,2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,184,2925,0,0,571,0,0,0,0,0,0,0,0,0,940,0,617,0,3226,220,0,105,6762,124,0,126,3364,332,0,0,0,0,200,0,0,0,0,0,11371,0,0,0,322,0,0,0,0,0,870,0,0,0,0,0,0,20194,0,0,0,0,249,5371,0,0,0,0,0,0,0,0,0,0,0,154,0,354,300,706,204,238,0,0,163,0,0,0,281,0,0,327,0,0,768,0,400,0,0,185,168,963,0,0,118,0,0,0,134,0,0,316,415,112,169,150,0,0,199,0,0,0,208
