Samples,Endomicrobium,Bacteroides,Proteiniphilum,Petrimonas,Porphyromonas,Prevotella,Parabacteroides,Tannerella,Phocaeicola,Capnocytophaga,Chryseobacterium,Flavobacterium,Pedobacter,Fusobacterium,Leptotrichia,Caulobacter,Bradyrhizobium,Ochrobactrum,Rhizobium,Rhodobacter,Altererythrobacter,Porphyrobacter,Novosphingobium,Sphingomonas,Sphingopyxis,Achromobacter,Burkholderia,Cupriavidus,Lautropia,Ralstonia,Acidovorax,Alicycliphilus,Comamonas,Hydrogenophaga,Ottowia,Polaromonas,Serpentinomonas,Variovorax,Collimonas,Janthinobacterium,Rubrivivax,Chromobacterium,Eikenella,Kingella,Morococcus,Neisseria,Sulfuriferula,Thiobacillus,Dechloromonas,Candidatus Profftella,Desulfobulbus,Desulfomicrobium,Desulfovibrio,Campylobacter,Cardiobacterium,Thioalkalivibrio,Citrobacter,Enterobacter,Escherichia,Klebsiella,Raoultella,Aggregatibacter,Haemophilus,Acinetobacter,Pseudomonas,Dyella,Rhodanobacter,Silanimonas,Stenotrophomonas,Xanthomonas,Chlamydia,Treponema,Aminomonas,Cloacibacillus,Fretibacterium,Jonquetella,Thermanaerovibrio,Actinobaculum,Actinomyces,Mobiluncus,Schaalia,Bifidobacterium,Corynebacterium,Mycobacterium,Cryocola,Leifsonia,Microbacterium,Arthrobacter,Micrococcus,Rothia,Nocardioides,Acidipropionibacterium,Cutibacterium,Propionibacterium,Tessaracoccus,Streptomyces,Atopobium,Olsenella,Eggerthella,Gordonibacter,Slackia,Limnoraphis,Bacillus,Gemella,Paenibacillus,Planococcus,Staphylococcus,Abiotrophia,Granulicatella,Enterococcus,Lactobacillus,Streptococcus,Christensenella,Clostridium,Anaerovorax,Eubacterium,Pseudoramibacter,Blautia,Butyrivibrio,Catonella,Dorea,Johnsonella,Lachnoanaerobaculum,Oribacterium,Oscillibacter,Clostridioides,Filifactor,Peptoanaerobacter,Peptostreptococcus,Ruminococcus,Eggerthia,Solobacterium,Centipeda,Selenomonas,Anaeroglobus,Dialister,Veillonella,Anaerococcus,Murdochiella,Parvimonas,Peptoniphilus,Mycoplasma,Candidatus Methanomethylophilus,Methanobrevibacter
8809_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,0,619,0,0,4556,4240,0,5495,1179,28815,1036,0,0,7326,10607,0,0,0,0,0,0,0,0,0,0,0,0,0,20903,0,0,0,0,0,45295,0,0,0,0,0,0,0,4833,2549,698,106354,0,0,0,0,927,4356,576,4503,5220,0,0,0,0,0,0,2361,1235,0,679,0,0,0,0,0,0,6149,0,0,7771,0,0,0,28067,0,1564,0,4936,0,0,0,0,0,0,4100,0,0,0,9077,0,688,0,17026,0,0,0,0,0,747,0,0,0,10022,3620,0,0,52162,0,800,0,4640,0,0,0,0,0,784,977,0,0,0,553,0,0,0,0,0,0,3629,0,0,0,0,0,555,0,0,0,0
8810_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,0,559,302,0,477,2480,0,4094,0,1891,0,0,0,451,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,6236,0,0,0,0,0,4841,0,0,0,0,0,0,0,389,0,0,2503,0,0,0,0,1135,6671,568,1468,2756,0,0,0,0,0,0,292,0,0,420,0,0,0,0,0,0,4815,332,687,8504,223,0,0,32863,0,1737,0,4668,0,0,0,0,0,0,0,0,0,0,13462,0,663,220,30087,0,0,258,0,422,0,275,0,0,284,0,0,0,2680,0,1770,335,1449,0,0,325,767,0,1069,369,285,0,0,468,0,0,318,442,0,0,3051,0,0,0,0,0,234,521,0,379,5751
8811_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,0,0,0,0,0,0,0,426,0,0,0,0,0,403,0,0,273,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,1468,159,0,0,208,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,1594,194,184,3985,0,0,191,32754,0,649,0,0,183,0,0,0,0,0,0,229,0,0,3075,150,832,0,16268,0,0,137,0,392,0,205,0,0,0,0,0,159,301,0,1375,363,302,194,137,242,249,0,0,0,0,0,0,366,0,0,270,927,0,0,408,0,0,0,0,0,212,543,0,0,10764
8813_AndrewDecon_Group1_EtOH_wash_Crushing,0,0,0,0,1877,6067,0,4305,0,26689,856,0,0,1047,6525,0,0,0,0,0,0,0,0,0,0,0,0,0,29249,0,1145,370,741,0,82717,0,0,358,0,0,0,0,2430,1330,0,16369,0,0,0,0,0,3362,0,1672,8498,0,0,0,0,0,0,744,0,0,1287,0,0,0,0,0,0,1805,0,0,3672,0,0,0,15863,0,688,0,10573,0,0,0,0,0,0,720,0,0,0,9591,0,553,0,4585,0,0,0,0,0,0,0,0,0,1495,0,0,0,28088,0,337,0,595,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,1883,0,0,0,0,0,0,0,0,0,0
8816_AndrewDecon_Group1_EtOH_wash_Crushing,0,0,0,0,2332,2860,0,14974,1138,1042,0,0,0,1310,0,0,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,0,0,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3076,36678,1619,2496,0,0,0,1088,0,0,0,0,0,6382,5644,0,0,0,0,0,0,21654,0,0,30564,0,0,39403,316621,0,10345,0,16957,1011,0,0,0,1431,0,0,3108,0,0,97848,1288,4294,0,90472,0,0,1342,0,1011,0,0,0,0,0,0,1058,0,5328,0,2777,0,1037,0,0,0,0,0,1039,0,1051,0,0,2154,0,0,0,0,0,0,4599,0,0,0,0,0,1067,0,0,0,6129
8818_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,277,486,0,0,923,3085,0,3896,348,2163,0,0,0,2554,806,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,3964,0,0,0,0,0,0,0,1036,0,0,1141,0,0,0,0,620,21681,512,2607,3822,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,9459,578,417,17669,316,345,749,59001,0,2100,0,6862,0,0,0,0,0,0,656,0,0,0,16898,0,925,0,36152,0,0,392,0,348,314,0,0,0,0,0,0,0,3177,0,1267,0,1181,331,0,0,665,0,1409,333,276,0,0,1209,0,0,0,0,0,0,3336,0,0,0,0,0,666,0,0,0,520
8819_AndrewDecon_Group1_EtOH_wash_Crushing,0,558,0,0,1475,3509,0,3848,0,5945,0,0,0,678,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,6161,0,0,0,0,0,20333,0,0,0,0,0,0,0,2138,426,0,6405,0,0,0,0,0,21543,241,1642,6041,0,0,0,0,0,0,814,0,0,815,0,0,0,0,0,0,7359,268,0,9955,0,0,0,38639,0,2132,0,4501,0,0,0,0,0,0,2500,0,0,0,18047,0,487,0,4967,0,0,0,0,0,0,0,0,0,572,0,0,0,9040,0,531,0,1025,0,0,0,0,0,657,0,0,0,0,451,0,0,0,0,0,0,1227,0,0,0,0,0,261,0,0,0,0
8820_AndrewDecon_Group2_UV_EtOH_wash_Crushing,0,745,327,0,689,1036,0,2627,434,360,0,0,0,297,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761,8131,772,959,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,8079,514,384,16636,400,354,0,43470,0,1229,0,728,0,0,0,0,0,0,0,0,0,0,6601,0,1001,285,66227,0,0,447,0,488,0,380,0,0,0,0,0,0,1116,0,1656,284,532,0,0,289,463,0,292,0,446,0,0,491,0,0,337,586,0,0,1130,0,0,0,0,0,291,527,0,545,2710
8825_AndrewDecon_Group2_UV_EtOH_wash_Crushing,0,0,0,0,466,0,0,6971,576,0,0,0,0,481,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786,13359,1243,313,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,5264,754,428,25092,429,489,0,57500,0,520,0,0,0,0,0,0,0,0,0,0,0,0,5545,0,1264,296,34771,534,884,1425,0,703,0,514,0,0,0,0,0,282,955,0,2812,612,595,0,310,399,0,0,581,0,278,293,0,1066,344,0,498,1209,0,0,1249,0,0,0,0,0,644,794,0,0,2796
8826_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,0,568,0,0,3755,8968,0,7357,1047,24052,669,0,0,4669,14214,0,0,0,0,0,0,0,0,0,0,0,0,0,28641,0,0,0,0,0,9359,0,0,0,0,0,0,0,3975,2686,0,45961,0,0,0,0,518,2840,515,4124,4438,0,0,0,0,0,0,5229,1082,0,525,0,0,0,0,0,0,4470,0,0,4755,0,0,0,69278,0,1724,0,15686,0,0,0,0,0,0,3428,0,0,0,19003,0,830,0,56205,0,0,546,0,0,863,0,0,0,7440,1049,0,0,48273,0,1239,0,15201,0,0,0,745,0,1688,1067,0,0,0,0,638,0,0,0,0,0,5751,0,0,0,0,0,1368,0,0,0,6603
8827_AndrewDecon_Group2_UV_EtOH_wash_Crushing,0,0,0,0,356,0,0,1824,0,0,0,0,0,254,0,0,523,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,738,0,452,3790,0,0,0,0,0,0,0,0,0,0,0,0,0,767,13167,482,0,0,0,0,0,0,0,0,0,0,420,951,0,0,650,0,0,0,4081,607,646,17861,301,356,0,36828,0,6123,0,0,273,0,0,0,0,0,0,350,0,0,1106,0,1297,0,1860,273,417,414,0,554,0,446,0,0,0,0,0,0,794,0,2639,539,727,249,335,445,441,0,384,0,483,259,0,500,0,0,629,1372,0,0,617,0,0,0,0,0,355,807,0,0,1603
8829_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,511,0,0,536,3734,0,4327,802,4055,0,0,0,602,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,0,0,0,0,7535,0,0,0,0,0,0,0,646,0,0,2165,0,0,0,0,406,12572,290,2100,4933,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,6656,285,263,8223,0,0,0,31797,0,917,0,20485,0,0,0,0,0,0,382,0,0,0,13315,0,588,0,59420,0,0,416,0,307,0,0,0,0,0,0,0,0,1824,0,1124,0,647,0,0,0,664,0,1035,297,0,0,0,1009,0,0,0,528,0,0,2153,0,0,0,0,0,0,428,0,0,2292
8831_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,397,0,0,2105,900,0,10892,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,1141,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,47090,504,1643,1598,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,10509,669,400,21904,417,507,539,62087,0,1786,0,1772,0,0,0,0,0,0,0,0,0,0,24157,0,956,0,31078,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,890,0,418,0,0,0,0,0,967,0,0,0,0,958,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0
8833_AndrewDecon_Group1_EtOH_wash_Crushing,0,585,0,0,594,326,0,791,0,102,0,0,0,108,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,96,0,0,0,0,135,17005,193,232,88,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,3456,159,0,6592,0,89,144,12036,0,1952,0,173,0,0,0,0,0,0,0,0,0,0,2327,0,230,0,10989,0,0,358,0,0,0,0,0,0,0,0,0,0,137,0,337,0,94,0,0,0,134,0,266,0,0,0,0,712,0,0,0,0,0,0,104,0,0,0,0,0,112,0,0,0,0
8834_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,331,0,0,6528,16337,0,10553,0,12587,0,0,0,6974,8172,0,0,0,0,0,0,0,0,0,0,0,0,0,19485,0,0,0,0,0,916,0,0,0,0,0,0,0,3180,619,0,32725,0,0,0,0,0,3216,0,1790,2162,0,0,0,0,0,0,7509,765,0,0,0,0,0,0,0,0,2509,0,0,4293,0,0,0,19833,0,3695,0,1164,0,0,0,0,0,0,1010,0,0,0,7078,0,317,0,8533,0,0,0,0,0,3249,0,0,0,6706,960,0,0,53743,0,896,0,10961,0,0,0,797,0,945,1100,0,0,0,689,457,0,0,0,0,0,3958,0,0,728,0,0,1031,408,0,0,2915
8840_AndrewDecon_Group1_EtOH_wash_Crushing,0,1563,1438,700,399,919,427,1517,0,0,0,331,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,367,0,0,454,10772,362,420,0,0,0,0,0,0,0,0,0,261,451,0,763,0,0,0,0,2740,634,704,12415,310,443,0,5514,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,19860,0,306,379,0,1583,0,642,0,447,0,0,463,744,1491,401,5181,1046,1125,678,602,932,1490,256,0,359,318,0,360,1951,426,0,961,1877,0,0,641,0,0,0,300,0,429,1875,422,0,41165
